名稱,建築團隊,年份,城市,國家,區域,柯本氣候,基地面積m2,基地面積為估算,基地分級,建築面積m2,建築面積出處,總樓地板m2,樓地板出處,容積率%,建物面積說明,典型單元,單元面積m2,單元面積為估算,單元分級,面積基準,戶數,戶型配比,戶型配比說明,對城市開放設施,僅住戶設施,設施說明,居住社群,營運屬性,特徵,說明,待確認事項,基地面積出處,單元面積出處,戶型配比出處,公設出處,地籍查詢,圖面資料狀態,圖面來源,來源連結
Timberyard Social Housing,O'Donnell + Tuomey,2009,Dublin,愛爾蘭,歐洲,Cfb,2300,是,中,,,3800,Arquitectura Viva,165,,2 房,75,是,中,估算：依戶數、樓地板與平面比例推估,47 戶＋社區空間,,47 戶，戶型配比未查到。,臨街社區活動室、穿越三角中庭的兩條新人行通道、東側聖母洞窟小徑,窗邊座椅與冬季花園面向的中庭,,社會住宅／低收入,公營（都柏林市議會）,磚造、三角形共享中庭、硬木窗扇／屏,"以原木材場為核心形成三角形中庭；建築面積約 3,800 m²。",,估算（見方法說明）,估算,ArchDaily,ArchDaily,,推定含圖面,[推定] ArchDaily https://www.archdaily.com/240896/timberyard-social-housing-odonnell-tuomey-architects | [推定] Arquitectura Viva https://arquitecturaviva.com/works/viviendas-sociales-timberyard-1,https://www.archdaily.com/240896/timberyard-social-housing-odonnell-tuomey-architects
IJburg Block 23 Housing,VMX Architects,2005,Amsterdam,荷蘭,歐洲,Cfb,3000,是,中,,,6800,archiweb,227,,附花園透天（約 3 房）,130,是,大,估算：依戶數、樓地板與平面比例推估,25 棟透天＋28 戶公寓,透天住宅（附花園）:25戶；公寓（含 8 戶頂層複層）:28戶,公寓共 8 種戶型。,,內院、汽車升降停車,,一般家庭,私營,汽車升降機、內院＋雙向採光、人工島,"把郊區「有花園、有車位」的需求放進都市街廓；總面積約 6,800 m²。",資料記載 2003–05 完工，與清單的 2009 不同。,估算（見方法說明）,估算,archiweb,archiweb,"荷蘭 Kadaster／PDOK：Maria Austriastraat 624, Amsterdam",推定含圖面,[推定] TU Delft DASH 期刊（Blok 23 & 24，PDF） https://journals.open.tudelft.nl/dash/article/download/4531/4339/12385,https://www.archiweb.cz/en/b/bytovy-blok-ijburg-23
New Carver Apartments,Michael Maltzan Architecture,2009,Los Angeles,美國,北美,Csa,1800,是,小,,,4924,"ARCHITECT Magazine（53,000 sf）",274,,Studio,28,否,小,美國租售面積：量至外牆或牆中心，含戶內隔間與衛浴，不含公共走廊與陽台,97 戶（每戶約 304 sf）,Studio:97戶/28m2,,,共享廚房與花園、諮商室與社工辦公室、中庭大階梯、屋頂露台,,無家者／支持性住宅、高齡者、身心障礙,非營利（Skid Row Housing Trust）,圓筒形量體、金屬鰭片、高速公路噪音回應,緊鄰 10 號高速公路，鋸齒立面讓窗戶斜向避開噪音；中庭為社交核心。,,估算（見方法說明）,ARCHITECT Magazine,ARCHITECT Magazine,ARCHITECT Magazine,"LA ZIMAS：1624 S Hope St, Los Angeles",已確認含圖面,[確認] Harvard JCHS Maltzan 講座簡報（地面層與標準層平面，PDF） https://www.jchs.harvard.edu/sites/default/files/media-files/2020-10/Michael_Maltzan_Dunlop_Lecture_2020_Presentation.pdf,https://www.architectmagazine.com/design/buildings/new-carver-apartments_o/
8 House,BIG（Bjarke Ingels Group）,2010,Copenhagen,丹麥,歐洲,Cfb,30000,是,大,,,61000,ArchDaily,203,"另有來源記住宅 61,000 m²＋商辦 10,000 m²。",2 房,90,是,中,估算：依戶數、樓地板與平面比例推估,"476 戶＋10,000 m² 商辦",透天式住宅:未查到戶；頂層花園住宅:未查到戶；一般公寓:未查到戶,共 476 戶，三類各別戶數未查到。,商店、咖啡廳、餐廳與辦公、幼兒園、連續坡道步道（可步行、騎車上 10 樓）,約 500 m² 中央共用設施、兩個中庭,坡道步道的開放程度為推定。,一般家庭、高齡者、青年／單身,私營,連續坡道／自行車道、綠屋頂、混合使用,"坡道可騎單車直上 10 樓，串連排屋、公寓與頂層住宅。總樓地板 61,000 m²。",,估算（見方法說明）,估算,ArchDaily,ArchDaily,,推定含圖面,[推定] ArchDaily https://www.archdaily.com/83307/8-house-big,https://www.archdaily.com/83307/8-house-big
Apartment in Nerima,Go Hasegawa & Associates,2010,Tokyo,日本,東亞,Cfa,400,是,小,,,1054.26,Go Hasegawa & Associates,264,,1LDK＋大露台,50,是,中,估算：依戶數、樓地板與平面比例推估,集合住宅＋店鋪＋辦公,,戶數未查到。,店鋪、辦公空間,,住戶專用設施未查到。,青年／單身,私營,每戶獨特大露台、混合使用,"總樓地板 1,054 m²；每戶配置形狀各異的大露台。",,估算（見方法說明）,估算,Go Hasegawa & Associates,Go Hasegawa & Associates,,推定含圖面,[推定] Go Hasegawa & Associates https://ghaa.co.jp/works/apartment-in-nerima/,https://ghaa.co.jp/works/apartment-in-nerima/
Manresa Housing,Pich-Aguilera ／ Lola Domènech,2011,Manresa,西班牙,歐洲,Csa,2000,是,中,,,7347,Metalocus（Domènech 案）,367,"Pich-Aguilera 案為 8,504 m²。",2 房,60,是,中,估算：依戶數、樓地板與平面比例推估,44 戶社會住宅（Domènech 案，45–90 m²）,社會住宅（45–90 m²）:44戶,,商業空間、公共停車場、周邊公共廣場,,,社會住宅／低收入,公營（舊城更新）,被動式節能／免空調、太陽能,兩位建築師在 Manresa 各有一件住宅案（Pich-Aguilera 2013、Domènech 2012 完工），本列暫以 Domènech 案數據填寫。,清單將兩位建築師並列，但查到的是兩件獨立作品，請確認要分析哪一件。,估算（見方法說明）,估算,ArchDaily · Pich-Aguilera,ArchDaily · Pich-Aguilera,,推定含圖面,[推定] ArchDaily · Pich-Aguilera https://www.archdaily.com/503816/housing-and-urban-development-project-in-manresa-pich-aguilera-architects | [推定] Metalocus · Lola Domènech https://www.metalocus.es/en/news/social-housing-old-quarter-manresa,https://www.archdaily.com/503816/housing-and-urban-development-project-in-manresa-pich-aguilera-architects | https://www.metalocus.es/en/news/social-housing-old-quarter-manresa
Via Verde,Grimshaw + Dattner Architects,2012,New York（Bronx）,美國,北美,Cfa,5570,否,中,,,27871,"Architectural Record（300,000 sf）",500,,2 房,80,是,中,估算：依戶數、樓地板與平面比例推估,222 戶（151 戶低收入）,低收入租賃:151戶；中等收入出售（co-op）:71戶,依收入分；建築型態分為透天、中層複層與 20 層塔樓，各型戶數未查到。,臨街零售、社區健康中心、北側廣場（每週兩次農夫市集）、live-work 單元,中央庭園、可種植的階梯屋頂花園、健康中心／健身空間,,混合收入、社會住宅／低收入,公私合作（HPD 競圖）,階梯式屋頂花園、LEED Gold、棕地再利用,"透天、複層中層與 20 層塔樓環繞中庭，屋頂花園螺旋上升。基地約 60,000 sf。",,ARCHITECT Magazine,估算,ARCHITECT Magazine,ARCHITECT Magazine,"NYC ZoLa：700 Brook Avenue, Bronx",未找到圖面來源,,https://www.architectmagazine.com/projects/via-verde-by-dattner-and-grimshaw.aspx | https://www.archdaily.com/245925/via-verde-officially-opens
Share Yaraicho,Satoko Shinohara + Ayano Uchimura,2012,Tokyo,日本,東亞,Cfa,100,是,小,77,Wikipedia（77 m² footprint）,,,,,共居私人房,10,是,小,估算：依戶數、樓地板與平面比例推估,7 間私人房＋共用起居／廚浴,私人房:7戶,,無門的半戶外緩衝空間，向鄰里敞開,共用起居空間、廚房、浴室,緩衝空間對鄰里開放的程度為推定。,青年／單身、共居,私營,共居 share house、拉鍊式薄膜立面、鋼構＋合板,被視為東京第一棟新建的 share house；建築投影約 77 m²，以可拉開的半透明薄膜取代大門。,,估算（見方法說明）,估算,Domus,Domus,,推定含圖面,[推定] Domus https://domusweb.it/en/architecture/2013/01/21/share-yaraicho-shared-living.html,https://domusweb.it/en/architecture/2013/01/21/share-yaraicho-shared-living.html
40 Apartments Housing（Aspern）,SUE Architekten,2012,Vienna,奧地利,歐洲,Cfb,3900,否,中,1755,"推算（ArchDaily：建蔽率 45% × 基地約 3,900 m²）",,,,,2 房公寓,75,是,中,估算：依戶數、樓地板與平面比例推估,40 戶（18 棟連棟透天＋2 棟公寓）,連棟透天:18戶；公寓:22戶,,,連棟透天之間的花園,,一般家庭,私營（推定）,錯位配置、斜屋頂法規再詮釋,基地約 150 × 17–35 m；建蔽率 45%。,ArchDaily 於 2012 年刊登，與清單的 2014 不同。,ArchDaily,估算,ArchDaily,ArchDaily,,推定含圖面,[推定] ArchDaily https://www.archdaily.com/233534/40-x-residing-in-aspern-vienna-sue-architekten,https://www.archdaily.com/233534/40-x-residing-in-aspern-vienna-sue-architekten
Apartment in Okachimachi,Go Hasegawa & Associates,2014,Tokyo,日本,東亞,Cfa,150,是,小,,,701.8,Go Hasegawa & Associates,468,,1R／1K,30,是,小,估算：依戶數、樓地板與平面比例推估,總樓地板 701.8 m²,,戶數未查到。,,,公共設施未查到。,青年／單身,私營,狹長都市基地,官方頁面僅列總樓地板，戶型與基地面積為估算。,,估算（見方法說明）,估算,Go Hasegawa & Associates,Go Hasegawa & Associates,,推定含圖面,[推定] Go Hasegawa & Associates https://ghaa.co.jp/works/apartment-in-okachimachi/,https://ghaa.co.jp/works/apartment-in-okachimachi/
Star Apartments,Michael Maltzan Architecture,2014,Los Angeles,美國,北美,Csa,2300,是,中,,,8826,"Wikipedia（95,000 sf）",384,"事務所新聞稿記 97,000 sf。",Studio,33,否,小,美國租售面積：量至外牆或牆中心，含戶內隔間與衛浴，不含公共走廊與陽台,102 戶（平均約 350 sf）,Studio（平均約 350 sf）:102戶/33m2,,"醫療診所、洛杉磯郡衛生局 Housing for Health 總部、約 15,000 sf 健康中心",社區花園、跑道與籃球場、健身房、藝術室、圖書室、共享廚房、各層洗衣間,,無家者／支持性住宅、身心障礙,非營利（Skid Row Housing Trust）,預鑄／模組化、既有建築加建、醫療與社福設施、LEED Platinum,在既有一層商業建築上加結構平台，吊裝工廠預製的住宅模組。,,估算（見方法說明）,Michael Maltzan Architecture,Michael Maltzan Architecture,Michael Maltzan Architecture,LA ZIMAS：E 6th St 與 S Maple Ave 路口,已確認含圖面,[確認] Harvard JCHS Maltzan 講座簡報（剖面構成，PDF） https://www.jchs.harvard.edu/sites/default/files/media-files/2020-10/Michael_Maltzan_Dunlop_Lecture_2020_Presentation.pdf | [推定] Afasia（MCHAP 決選） https://afasiaarchzine.com/2016/07/michael-maltzan/,https://mmaltzan.com/projects/star-apartments | https://www.architectmagazine.com/project-gallery/star-apartments
Vanke Cloud City,WOHA,2014,Shenzhen,中國,東亞,Cwa,8086,否,中,,,150000,"The Skyscraper Museum（Gross Floor Area 150,000 m²）",1855,層數以 54 層為準（同一來源的條列文字另寫 65 層，判定為早期方案）。建築投影面積未公布；另列綠化容積率 120%、社區容積率 160%（WOHA 自訂指標）。,—（辦公塔樓）,,否,,不適用,"54 層、高 246 m，總樓地板 150,000 m²（辦公）",,,架空的地面公共廣場,空中山丘（辦公人員使用）,此案為辦公建築。,非住宅（待確認）,私營（萬科）,空中山丘 Sky Hills、亞熱帶高層,WOHA 的萬科雲城為辦公塔樓：三座塔樓以十二個 8 層高的「空中山丘」連接，作為避難層與轉乘梯廳，內含托育與員工設施。,此案經查為辦公建築，建議確認是否指同開發區的住宅，或以其他案例替換。,"The Skyscraper Museum（Plot Area 8,086 m²）",不適用,The Skyscraper Museum,The Skyscraper Museum,,不適用,,https://old.skyscraper.org/EXHIBITIONS/WOHA/vanke.php
Crest Apartments,Michael Maltzan Architecture,2016,Los Angeles（Van Nuys）,美國,北美,Csa,2800,是,中,,,4181,"Michael Maltzan Architecture（45,000 sf）",149,,Studio,35,是,小,美國租售面積：量至外牆或牆中心，含戶內隔間與衛浴，不含公共走廊與陽台,64 戶,Studio:64戶,其中 23 戶保留給退伍軍人；MCHAP 資料寫 63 戶。,,社工辦公室、共享廚房、洗衣間、會議室、住戶交誼廳、地面社區花園,,無家者／支持性住宅、退伍軍人、身心障礙,非營利（Skid Row Housing Trust）,木構＋RC 基座、透水地坪／雨水回收、LEED Platinum,"總樓地板約 4,180 m²；以開放式外廊取代陰暗的雙邊走廊。",,估算（見方法說明）,估算,Architectural Record,Architectural Record,LA ZIMAS：以案名查得地址後輸入（Van Nuys）,推定含圖面,[推定] Architectural Record https://www.architecturalrecord.com/articles/13009-crest-apartments-by-michael-maltzan-architecture | [推定] Afasia https://afasiaarchzine.com/2018/05/michael-maltzan-2,https://www.architecturalrecord.com/articles/13009-crest-apartments-by-michael-maltzan-architecture | https://www.dezeen.com/2018/07/11/michael-maltzan-architecture-crest-apartments-homeless-population-los-angeles-southern-california/
56 Leonard,Herzog & de Meuron,2017,New York,美國,北美,Cfa,1161,否,小,,,46452,"Wikipedia（500,005 sf）",4001,"開發商 Hines 記 482,000 sf。",2–5 房（每戶平面皆不同）,150,是,大,估算：依戶數、樓地板與平面比例推估,145 戶（2–5 房），60 層,公寓（2–5 房）:135戶；頂層 penthouse:10戶,"135 戶一般住宅＋10 戶頂層；單戶 1,430–6,380 sf（約 133–593 m²），各房型戶數未查到。",街角 Anish Kapoor 雕塑,23 m 泳池、健身與瑜伽室、室內外劇院、圖書交誼廳、私人餐廳、兒童遊戲室、會議中心,,高收入,私營,堆疊懸挑量體、清水混凝土、高層住宅,每戶平面不同且皆有戶外空間；頂部 10 戶閣樓。,,"CityRealty（12,500 sf 基地）",估算,Alexico Group,Dezeen,"NYC ZoLa：56 Leonard Street, Manhattan",未找到圖面來源,,https://www.dezeen.com/2017/02/01/jenga-like-56-leonard-skyscraper-tribeca-new-york-herzog-de-meuron-photographs-hufton-crow/ | https://alexicogroup.com/properties/recent-developments/56-leonard/ | https://www.cityrealty.com/nyc/tribeca/56-leonard-street/44351
11 Hoyt,Studio Gang,2021,New York（Brooklyn）,美國,北美,Cfa,6000,是,中,,,71535,"ArchDaily（770,000 sf）",1192,,1 房,70,是,中,美國租售面積：量至外牆或牆中心，含戶內隔間與衛浴，不含公共走廊與陽台,約 481–490 戶（studio–4 房，190 種平面）,,約 481–490 戶，studio 至 4 房，190 種平面，配比未查到。,,"約 27,000 sf 架空私人公園、3 樓 Park Club（健身、泳池、spa、共同工作）、32 樓 Sky Club",,高收入,私營,扇貝形預鑄混凝土立面、凸窗座、架高私人公園,由布魯克林褐石屋凸窗轉譯的立面；基地原為停車場。,,估算（見方法說明）,估算,ArchDaily,ArchDaily,"NYC ZoLa：11 Hoyt Street, Brooklyn",未找到圖面來源,,https://www.archdaily.com/918523/studio-gangs-11-hoyt-tops-out-in-brooklyn
378 West End Avenue,COOKFOX Architects,2021,New York,美國,北美,Cfa,1500,是,小,,,,,,,3 房,190,是,大,美國租售面積：量至外牆或牆中心，含戶內隔間與衛浴，不含公共走廊與陽台,58 戶（1–6 房）,,58 戶（另有來源寫 66 戶），1–6 房，配比未查到。,,健身房與泳池、籃球場、托育室、交誼廳與撞球室、私人儲藏與單車室,,高收入,私營,新舊建築結合、磚／石灰石／陶飾、健康建築（過濾系統）,18 層新塔樓結合修復的 1915 年建築。,,估算（見方法說明）,估算,New York YIMBY,New York YIMBY,"NYC ZoLa：378 West End Avenue, Manhattan",未找到圖面來源,,https://newyorkyimby.com/2021/04/cookfoxs-378-west-end-avenue-progressing-sales-launch-on-manhattans-upper-west-side.html
Share Tenjincho,Satoko Shinohara + Ayano Uchimura,2021,Tokyo,日本,東亞,Cfa,150,是,小,,,,,,,共居私人房,10,是,小,估算：依戶數、樓地板與平面比例推估,待查,,未查到。,,,公共設施未查到。,青年／單身、共居,私營,共居 share house,未找到專業網站的專案頁，數據均為參照 Share Yaraicho 的暫估值。,尚無可驗證的公開資料，請以書籍或事務所資料補齊。,估算（見方法說明）,估算,Spatial Design Studio,Spatial Design Studio,,未找到圖面來源,,http://www.s-d-s.net
"CARA（Center for Art, Research and Alliances）",6a Architects,2021,New York,美國,北美,Cfa,,否,,,,795,The Architects' Journal（Gross internal floor area 795 m²）,,1909 年鋼骨磚造倉庫（原為撲克牌倉庫）改造；中段三分之一拆除以置入新電梯與樓梯。基地與投影面積未公布。,—（藝術機構）,,否,,不適用,—（藝術中心、研究機構與出版社）,,,展覽空間（Gallery 1–3）、公共活動與講座空間、書店,,非住宅，無住戶設施。,非住宅（待確認）,非營利,既有建築改造、CMU 混凝土磚＋外露鋼構、無障礙垂直動線插入,2020 年 1 月開工、2021 年 7 月完工，2022 年秋開幕；執行建築師 20X Architects，景觀 Dan Pearson Studio。,此案為藝術機構，位於紐約 225 West 13th Street，不是倫敦的住宅案。,無資料,不適用,6a Architects,The Architects' Journal；Afasia,"NYC ZoLa：225 West 13th Street, Manhattan",推定含圖面,[推定] The Architects' Journal https://www.architectsjournal.co.uk/buildings/6a-architects-retrofit-of-new-york-arts-building | [推定] Afasia https://afasiaarchzine.com/2022/11/6a-cara-center-for-art-research-and-alliances-new-york/,https://www.architectsjournal.co.uk/buildings/6a-architects-retrofit-of-new-york-arts-building | https://www.cara-nyc.org/pages/building-place | https://6a.co.uk/
Bergen,Taller Frida Escobedo（AOR: GF55）,2024,New York（Brooklyn）,美國,北美,Cfa,4000,是,中,,,19417,"designboom（209,000 sf）",485,,2 房,100,是,大,美國租售面積：量至外牆或牆中心，含戶內隔間與衛浴，不含公共走廊與陽台,105 戶（studio–5 房）,,105 戶，studio 至 5 房，49–53 種戶型，配比未查到。,,兩翼之間的玻璃公設量體、住戶專用公園,,高收入,私營,手工幾何模組立面、75% 住戶有私人戶外空間、兩翼＋玻璃公設量體,"7 層、約 209,000 sf，以褶曲立面回應周邊透天。",,估算（見方法說明）,估算,designboom,designboom,"NYC ZoLa：323 Bergen Street, Brooklyn",未找到圖面來源,,https://www.designboom.com/architecture/frida-escobedo-bergen-brooklyn-boerum-hill-03-22-2024/ | https://www.metalocus.es/en/news/bergen-a-good-neighbour-brooklyn-frida-escobedo
144 Vanderbilt,SO–IL,2025,New York（Brooklyn）,美國,北美,Cfa,1500,是,小,,,8300,SO–IL 事務所官網,553,,2 房,117,否,大,美國租售面積：量至外牆或牆中心，含戶內隔間與衛浴，不含公共走廊與陽台,"26 戶（2–4 房），總樓地板 8,300 m²",2–4 房:26戶,各房型戶數未查到。,,"後院花園、中央庭院、架高的公共廣場（住戶共用）、約 11,000 sf 住戶公設",,高收入,私營,粉色預鑄混凝土、退縮錯層量體、階梯式花園,"2 房戶約 1,258 sf（117 m²）；2025 年 7 月入住。",正式案名為 144 Vanderbilt（清單寫作 141）。,"估算（由 SO–IL 公布之樓地板 8,300 m² 與 4–8 層量體推估）","房仲刊登資料（2 房 1,258 sf）",ArchDaily,SO–IL 事務所官網,"NYC ZoLa：144 Vanderbilt Avenue, Brooklyn",已確認含圖面,[確認] SO–IL 事務所官網（Drawings：平面與軸測） https://solidobjectives.com/work/144-vanderbilt/,https://solidobjectives.com/work/144-vanderbilt/ | https://www.archdaily.com/1021936/so-il-reveals-design-for-a-new-residential-condominium-project-in-brooklyn-new-york
